pct,month,address5,total_pericyazine,list_size,pericyazine_per_1000
00X,2014-07-01,0.0,4.0,34012,0.7884940582809388
00X,2014-08-01,0.0,3.0,32013,0.2882439332184075
00X,2014-09-01,0.0,4.0,34012,0.7884940582809388
00X,2014-10-01,0.0,5.0,33889,0.9030090187361602
00X,2014-11-01,0.0,1.0,10431,0.09586808551433228
00X,2014-12-01,0.0,4.0,33889,0.7875355776276152
00X,2015-01-01,0.0,3.0,10638,0.7286550465452817
00X,2015-02-01,0.0,2.0,10638,0.6127130175597745
00X,2015-03-01,0.0,1.0,8625,0.11594202898550723
00X,2015-04-01,0.0,2.0,10623,0.6138501655482763
00X,2015-05-01,0.0,1.0,8614,0.11609008590666357
00X,2015-06-01,0.0,2.0,10623,0.6138501655482763
00X,2015-07-01,0.0,2.0,10581,0.6196315145490136
00X,2015-08-01,0.0,1.0,1987,0.5032712632108707
00X,2015-09-01,0.0,3.0,8594,0.3490807540144287
00X,2015-10-01,0.0,3.0,10607,1.1094224520062113
00X,2015-11-01,0.0,1.0,8593,0.11637379262190155
00X,2015-12-01,0.0,3.0,10545,0.7309634341347759
00X,2016-01-01,0.0,3.0,19417,0.7250030954860668
00X,2016-02-01,0.0,2.0,10816,0.6087375449686852
00X,2016-03-01,0.0,4.0,19417,0.8412686460034485
00X,2016-04-01,0.0,1.0,8576,0.1166044776119403
00X,2016-05-01,0.0,2.0,10623,0.6051242626632348
00X,2016-06-01,0.0,4.0,19672,0.8261431597789383
00X,2016-07-01,0.0,3.0,17872,0.3315052990410662
00X,2016-08-01,0.0,3.0,19928,0.7106135046414742
00X,2016-09-01,0.0,5.0,19928,0.9348456863257499
00X,2016-10-01,0.0,1.0,9307,0.10744600838078866
00X,2016-11-01,0.0,4.0,19917,0.8274269604596818
00X,2016-12-01,0.0,2.0,10610,0.603062911625251
00X,2017-01-01,0.0,2.0,10547,0.6054934740238305
00X,2017-02-01,0.0,1.0,8497,0.11768859597505002
00X,2017-03-01,0.0,2.0,10547,0.6054934740238305
00X,2017-04-01,0.0,2.0,10552,0.602751682529455
00X,2017-05-01,0.0,1.0,8506,0.11756407241946862
00X,2017-06-01,0.0,2.0,10586,0.5989862725994108
00X,2017-07-01,0.0,1.0,8514,0.11745360582569886
00X,2017-08-01,0.0,3.0,10574,0.7211782236381095
00X,2017-09-01,0.0,2.0,10576,0.6050931726769766
00X,2017-10-01,0.0,2.0,10583,0.6021018663280377
00X,2017-11-01,0.0,2.0,10582,0.601453127124297
00X,2017-12-01,0.0,2.0,10574,0.6015635418131605
00X,2018-01-01,0.0,1.0,2060,0.4854368932038835
00X,2018-03-01,0.0,1.0,2067,0.4837929366231253
00X,2018-04-01,0.0,1.0,2066,0.484027105517909
00X,2018-05-01,0.0,2.0,2074,0.9643201542912248
00X,2018-06-01,0.0,2.0,2077,0.9629272989889263
00X,2018-07-01,0.0,1.0,2077,0.48146364949446313
00X,2018-08-01,0.0,1.0,2066,0.484027105517909
00X,2018-09-01,0.0,1.0,2074,0.4821600771456124
00X,2018-10-01,0.0,1.0,2086,0.47938638542665385
00X,2018-12-01,0.0,1.0,2092,0.4780114722753346
00X,2019-01-01,0.0,1.0,2101,0.47596382674916704
00X,2019-02-01,0.0,1.0,2113,0.473260766682442
00X,2019-03-01,0.0,1.0,2126,0.4703668861712136
00X,2019-06-01,0.0,1.0,3412,0.2930832356389214
00Y,2014-07-01,0.0,4.0,9823,0.8454854445680717
00Y,2014-08-01,0.0,1.0,7606,0.1314751511964239
00Y,2014-09-01,0.0,3.0,15982,0.7448991623083625
00Y,2014-10-01,0.0,2.0,8410,0.6066110214658795
